Team,Appearances,Appearances,Appearances,Best result,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics
Team,Total,First,Latest,Best result,Played,Won,Lost,Tied+W,Tied+L,NR,Win%
Chennai Super Kings,15,2008,2024,"Champions (2010, 2011, 2018, 2021, 2023)",239,138,98,0,1,2,57.74
Mumbai Indians,17,2008,2024,"Champions (2013, 2015, 2017, 2019, 2020)",261,142,115,2,2,0,54.4
Kolkata Knight Riders,17,2008,2024,"Champions (2012, 2014, 2024)",252,130,117,1,3,0,52.4
Gujarat Titans,3,2022,2024,Champions (2022),45,28,17,0,0,0,62.22
Rajasthan Royals,15,2008,2024,Champions (2008),222,110,106,2,1,2,50.91
Sunrisers Hyderabad,12,2013,2024,Champions (2016),182,87,91,1,3,0,49.17
Royal Challengers Bengaluru,17,2008,2024,"Runners-up (2009, 2011, 2016)",256,121,128,2,1,4,48.61
Punjab Kings,17,2008,2024,Runners-up (2014),246,109,133,3,1,0,45.12
Delhi Capitals,17,2008,2024,Runners-up (2020),252,112,134,3,1,2,44.44
Lucknow Super Giants,3,2022,2024,"Eliminator (2022, 2023)",44,24,19,0,0,1,54.54
Deccan Chargers,5,2008,2012,Champions (2009),75,29,46,0,0,0,38.66
Rising Pune Supergiant,2,2016,2017,Runners-up (2017),30,15,15,0,0,0,50.0
Gujarat Lions,2,2016,2017,Qualifier 2 (2016),30,13,16,0,1,0,45.0
Kochi Tuskers Kerala,1,2011,2011,Group Stage (2011),14,6,8,0,0,0,42.85
Pune Warriors India,3,2011,2013,"Group Stage (2011, 2012, 2013)",46,12,33,0,0,1,26.67
